date,value
1994-03-21T00:00:00.000000,1.106
1994-04-04T00:00:00.000000,1.109
1994-05-02T00:00:00.000000,1.104
1994-06-06T00:00:00.000000,1.101
1994-07-04T00:00:00.000000,1.109
1994-08-01T00:00:00.000000,1.116
1994-09-05T00:00:00.000000,1.126
1994-10-03T00:00:00.000000,1.118
1994-11-07T00:00:00.000000,1.133
1994-12-05T00:00:00.000000,1.123
1995-01-02T00:00:00.000000,1.104
1995-02-06T00:00:00.000000,1.086
1995-03-06T00:00:00.000000,1.089
1995-04-03T00:00:00.000000,1.094
1995-05-01T00:00:00.000000,1.119
1995-06-05T00:00:00.000000,1.124
1995-07-03T00:00:00.000000,1.106
1995-08-07T00:00:00.000000,1.099
1995-09-04T00:00:00.000000,1.115
1995-10-02T00:00:00.000000,1.117
1995-11-06T00:00:00.000000,1.118
1995-12-04T00:00:00.000000,1.123
1996-01-01T00:00:00.000000,1.148
1996-02-05T00:00:00.000000,1.13
1996-03-04T00:00:00.000000,1.175
1996-04-01T00:00:00.000000,1.222
1996-05-06T00:00:00.000000,1.292
1996-06-03T00:00:00.000000,1.24
1996-07-01T00:00:00.000000,1.172
1996-08-05T00:00:00.000000,1.184
1996-09-02T00:00:00.000000,1.231
1996-10-07T00:00:00.000000,1.308
1996-11-04T00:00:00.000000,1.323
1996-12-02T00:00:00.000000,1.323
1997-01-06T00:00:00.000000,1.291
1997-02-03T00:00:00.000000,1.288
1997-03-03T00:00:00.000000,1.252
1997-04-07T00:00:00.000000,1.217
1997-05-05T00:00:00.000000,1.205
1997-06-02T00:00:00.000000,1.19
1997-07-07T00:00:00.000000,1.159
1997-08-04T00:00:00.000000,1.155
1997-09-01T00:00:00.000000,1.165
1997-10-06T00:00:00.000000,1.175
1997-11-03T00:00:00.000000,1.188
1997-12-01T00:00:00.000000,1.189
1998-01-05T00:00:00.000000,1.147
1998-02-02T00:00:00.000000,1.091
1998-03-02T00:00:00.000000,1.074
1998-04-06T00:00:00.000000,1.067
1998-05-04T00:00:00.000000,1.072
1998-06-01T00:00:00.000000,1.053
1998-07-06T00:00:00.000000,1.036
1998-08-03T00:00:00.000000,1.016
1998-09-07T00:00:00.000000,1.009
1998-10-05T00:00:00.000000,1.041
1998-11-02T00:00:00.000000,1.035
1998-12-07T00:00:00.000000,0.986
1999-01-04T00:00:00.000000,0.965
1999-02-01T00:00:00.000000,0.962
1999-03-01T00:00:00.000000,0.956
1999-04-05T00:00:00.000000,1.075
1999-05-03T00:00:00.000000,1.078
1999-06-07T00:00:00.000000,1.059
1999-07-05T00:00:00.000000,1.102
1999-08-02T00:00:00.000000,1.146
1999-09-06T00:00:00.000000,1.198
1999-10-04T00:00:00.000000,1.234
1999-11-01T00:00:00.000000,1.229
1999-12-06T00:00:00.000000,1.294
2000-01-03T00:00:00.000000,1.309
2000-02-07T00:00:00.000000,1.47
2000-03-06T00:00:00.000000,1.49
2000-04-03T00:00:00.000000,1.442
2000-05-01T00:00:00.000000,1.418
2000-06-05T00:00:00.000000,1.419
2000-07-03T00:00:00.000000,1.453
2000-08-07T00:00:00.000000,1.41
2000-09-04T00:00:00.000000,1.609
2000-10-02T00:00:00.000000,1.625
2000-11-06T00:00:00.000000,1.61
2000-12-04T00:00:00.000000,1.622
2001-01-01T00:00:00.000000,1.522
2001-02-05T00:00:00.000000,1.52
2001-03-05T00:00:00.000000,1.42
2001-04-02T00:00:00.000000,1.391
2001-05-07T00:00:00.000000,1.47
2001-06-04T00:00:00.000000,1.514
2001-07-02T00:00:00.000000,1.407
2001-08-06T00:00:00.000000,1.345
2001-09-03T00:00:00.000000,1.488
2001-10-01T00:00:00.000000,1.39
2001-11-05T00:00:00.000000,1.291
2001-12-03T00:00:00.000000,1.194
2002-01-07T00:00:00.000000,1.168
2002-02-04T00:00:00.000000,1.144
2002-03-04T00:00:00.000000,1.173
2002-04-01T00:00:00.000000,1.295
2002-05-06T00:00:00.000000,1.305
2002-06-03T00:00:00.000000,1.3
2002-07-01T00:00:00.000000,1.289
2002-08-05T00:00:00.000000,1.304
2002-09-02T00:00:00.000000,1.388
2002-10-07T00:00:00.000000,1.46
2002-11-04T00:00:00.000000,1.442
2002-12-02T00:00:00.000000,1.407
2003-01-06T00:00:00.000000,1.501
2003-02-03T00:00:00.000000,1.542
2003-03-03T00:00:00.000000,1.753
2003-04-07T00:00:00.000000,1.554
2003-05-05T00:00:00.000000,1.484
2003-06-02T00:00:00.000000,1.423
2003-07-07T00:00:00.000000,1.428
2003-08-04T00:00:00.000000,1.453
2003-09-01T00:00:00.000000,1.501
2003-10-06T00:00:00.000000,1.445
2003-11-03T00:00:00.000000,1.481
2003-12-01T00:00:00.000000,1.476
2004-01-05T00:00:00.000000,1.503
2004-02-02T00:00:00.000000,1.581
2004-03-01T00:00:00.000000,1.619
2004-04-05T00:00:00.000000,1.648
2004-05-03T00:00:00.000000,1.717
2004-06-07T00:00:00.000000,1.734
2004-07-05T00:00:00.000000,1.716
2004-08-02T00:00:00.000000,1.78
2004-09-06T00:00:00.000000,1.869
2004-10-04T00:00:00.000000,2.053
2004-11-01T00:00:00.000000,2.206
2004-12-06T00:00:00.000000,2.069
2005-01-03T00:00:00.000000,1.957
2005-02-07T00:00:00.000000,1.983
2005-03-07T00:00:00.000000,2.168
2005-04-04T00:00:00.000000,2.303
2005-05-02T00:00:00.000000,2.262
2005-06-06T00:00:00.000000,2.234
2005-07-04T00:00:00.000000,2.348
2005-08-01T00:00:00.000000,2.348
2005-09-05T00:00:00.000000,2.898
2005-10-03T00:00:00.000000,3.144
2005-11-07T00:00:00.000000,2.698
2005-12-05T00:00:00.000000,2.425
2006-01-02T00:00:00.000000,2.442
2006-02-06T00:00:00.000000,2.499
2006-03-06T00:00:00.000000,2.545
2006-04-03T00:00:00.000000,2.617
2006-05-01T00:00:00.000000,2.896
2006-06-05T00:00:00.000000,2.89
2006-07-03T00:00:00.000000,2.898
2006-08-07T00:00:00.000000,3.055
2006-09-04T00:00:00.000000,2.967
2006-10-02T00:00:00.000000,2.546
2006-11-06T00:00:00.000000,2.506
2006-12-04T00:00:00.000000,2.618
2007-01-01T00:00:00.000000,2.58
2007-02-05T00:00:00.000000,2.435
2007-03-05T00:00:00.000000,2.626
2007-04-02T00:00:00.000000,2.79
2007-05-07T00:00:00.000000,2.792
2007-06-04T00:00:00.000000,2.799
2007-07-02T00:00:00.000000,2.829
2007-08-06T00:00:00.000000,2.898
2007-09-03T00:00:00.000000,2.893
2007-10-01T00:00:00.000000,3.048
2007-11-05T00:00:00.000000,3.303
2007-12-03T00:00:00.000000,3.416
2008-01-07T00:00:00.000000,3.376
2008-02-04T00:00:00.000000,3.28
2008-03-03T00:00:00.000000,3.658
2008-04-07T00:00:00.000000,3.955
2008-05-05T00:00:00.000000,4.149
2008-06-02T00:00:00.000000,4.707
2008-07-07T00:00:00.000000,4.727
2008-08-04T00:00:00.000000,4.502
2008-09-01T00:00:00.000000,4.121
2008-10-06T00:00:00.000000,3.875
2008-11-03T00:00:00.000000,3.088
2008-12-01T00:00:00.000000,2.615
2009-01-05T00:00:00.000000,2.291
2009-02-02T00:00:00.000000,2.246
2009-03-02T00:00:00.000000,2.087
2009-04-06T00:00:00.000000,2.228
2009-05-04T00:00:00.000000,2.185
2009-06-01T00:00:00.000000,2.352
2009-07-06T00:00:00.000000,2.594
2009-08-03T00:00:00.000000,2.55
2009-09-07T00:00:00.000000,2.647
2009-10-05T00:00:00.000000,2.582
2009-11-02T00:00:00.000000,2.808
2009-12-07T00:00:00.000000,2.772
2010-01-04T00:00:00.000000,2.797
2010-02-01T00:00:00.000000,2.781
2010-03-01T00:00:00.000000,2.861
2010-04-05T00:00:00.000000,3.015
2010-05-03T00:00:00.000000,3.122
2010-06-07T00:00:00.000000,2.946
2010-07-05T00:00:00.000000,2.924
2010-08-02T00:00:00.000000,2.928
2010-09-06T00:00:00.000000,2.931
2010-10-04T00:00:00.000000,3.0
2010-11-01T00:00:00.000000,3.067
2010-12-06T00:00:00.000000,3.197
2011-01-03T00:00:00.000000,3.331
2011-02-07T00:00:00.000000,3.513
2011-03-07T00:00:00.000000,3.871
2011-04-04T00:00:00.000000,3.976
2011-05-02T00:00:00.000000,4.124
2011-06-06T00:00:00.000000,3.94
2011-07-04T00:00:00.000000,3.85
2011-08-01T00:00:00.000000,3.937
2011-09-05T00:00:00.000000,3.868
2011-10-03T00:00:00.000000,3.749
2011-11-07T00:00:00.000000,3.887
2011-12-05T00:00:00.000000,3.931
2012-01-02T00:00:00.000000,3.783
2012-02-06T00:00:00.000000,3.856
2012-03-05T00:00:00.000000,4.094
2012-04-02T00:00:00.000000,4.142
2012-05-07T00:00:00.000000,4.057
2012-06-04T00:00:00.000000,3.846
2012-07-02T00:00:00.000000,3.648
2012-08-06T00:00:00.000000,3.85
2012-09-03T00:00:00.000000,4.127
2012-10-01T00:00:00.000000,4.079
2012-11-05T00:00:00.000000,4.01
2012-12-03T00:00:00.000000,4.027
2013-01-07T00:00:00.000000,3.911
2013-02-04T00:00:00.000000,4.022
2013-03-04T00:00:00.000000,4.13
2013-04-01T00:00:00.000000,3.993
2013-05-06T00:00:00.000000,3.845
2013-06-03T00:00:00.000000,3.869
2013-07-01T00:00:00.000000,3.817
2013-08-05T00:00:00.000000,3.909
2013-09-02T00:00:00.000000,3.981
2013-10-07T00:00:00.000000,3.897
2013-11-04T00:00:00.000000,3.857
2013-12-02T00:00:00.000000,3.883
2014-01-06T00:00:00.000000,3.91
2014-02-03T00:00:00.000000,3.951
2014-03-03T00:00:00.000000,4.016
2014-04-07T00:00:00.000000,3.959
2014-05-05T00:00:00.000000,3.964
2014-06-02T00:00:00.000000,3.918
2014-07-07T00:00:00.000000,3.913
2014-08-04T00:00:00.000000,3.853
2014-09-01T00:00:00.000000,3.814
2014-10-06T00:00:00.000000,3.733
2014-11-03T00:00:00.000000,3.623
2014-12-01T00:00:00.000000,3.605
2015-01-05T00:00:00.000000,3.137
2015-02-02T00:00:00.000000,2.831
2015-03-02T00:00:00.000000,2.936
2015-04-06T00:00:00.000000,2.784
2015-05-04T00:00:00.000000,2.854
2015-06-01T00:00:00.000000,2.909
2015-07-06T00:00:00.000000,2.832
2015-08-03T00:00:00.000000,2.668
2015-09-07T00:00:00.000000,2.534
2015-10-05T00:00:00.000000,2.492
2015-11-02T00:00:00.000000,2.485
2015-12-07T00:00:00.000000,2.379
2016-01-04T00:00:00.000000,2.211
2016-02-01T00:00:00.000000,2.031
2016-03-07T00:00:00.000000,2.021
2016-04-04T00:00:00.000000,2.115
2016-05-02T00:00:00.000000,2.266
2016-06-06T00:00:00.000000,2.407
2016-07-04T00:00:00.000000,2.423
2016-08-01T00:00:00.000000,2.348
2016-09-05T00:00:00.000000,2.407
2016-10-03T00:00:00.000000,2.389
2016-11-07T00:00:00.000000,2.47
2016-12-05T00:00:00.000000,2.48
2017-01-02T00:00:00.000000,2.586
2017-02-06T00:00:00.000000,2.558
2017-03-06T00:00:00.000000,2.579
2017-04-03T00:00:00.000000,2.556
2017-05-01T00:00:00.000000,2.583
2017-06-05T00:00:00.000000,2.564
2017-07-03T00:00:00.000000,2.472
2017-08-07T00:00:00.000000,2.581
2017-09-04T00:00:00.000000,2.758
2017-10-02T00:00:00.000000,2.792
2017-11-06T00:00:00.000000,2.882
2017-12-04T00:00:00.000000,2.922
2018-01-01T00:00:00.000000,2.973
2018-02-05T00:00:00.000000,3.086
2018-03-05T00:00:00.000000,2.992
2018-04-02T00:00:00.000000,3.042
2018-05-07T00:00:00.000000,3.171
2018-06-04T00:00:00.000000,3.285
2018-07-02T00:00:00.000000,3.236
2018-08-06T00:00:00.000000,3.223
2018-09-03T00:00:00.000000,3.252
2018-10-01T00:00:00.000000,3.313
2018-11-05T00:00:00.000000,3.338
2018-12-03T00:00:00.000000,3.207
2019-01-07T00:00:00.000000,3.013
2019-02-04T00:00:00.000000,2.966
2019-03-04T00:00:00.000000,3.076
2019-04-01T00:00:00.000000,3.078
2019-05-06T00:00:00.000000,3.171
2019-06-03T00:00:00.000000,3.136
2019-07-01T00:00:00.000000,3.042
2019-08-05T00:00:00.000000,3.032
2019-09-02T00:00:00.000000,2.976
2019-10-07T00:00:00.000000,3.047
2019-11-04T00:00:00.000000,3.062
2019-12-02T00:00:00.000000,3.07
2020-01-06T00:00:00.000000,3.079
2020-02-03T00:00:00.000000,2.956
2020-03-02T00:00:00.000000,2.851
2020-04-06T00:00:00.000000,2.548
2020-05-04T00:00:00.000000,2.399
2020-06-01T00:00:00.000000,2.386
2020-07-06T00:00:00.000000,2.437
2020-08-03T00:00:00.000000,2.424
2020-09-07T00:00:00.000000,2.435
2020-10-05T00:00:00.000000,2.387
2020-11-02T00:00:00.000000,2.372
2020-12-07T00:00:00.000000,2.526
2021-01-04T00:00:00.000000,2.64
2021-02-01T00:00:00.000000,2.738
2021-03-01T00:00:00.000000,3.072
2021-04-05T00:00:00.000000,3.144
2021-05-03T00:00:00.000000,3.142
2021-06-07T00:00:00.000000,3.274
2021-07-05T00:00:00.000000,3.331
2021-08-02T00:00:00.000000,3.367
2021-08-23T00:00:00.000000,3.324
2021-08-30T00:00:00.000000,3.339
2021-09-06T00:00:00.000000,3.373
2021-09-13T00:00:00.000000,3.372
2021-09-20T00:00:00.000000,3.385
2021-09-27T00:00:00.000000,3.406
2021-10-04T00:00:00.000000,3.477
2021-10-11T00:00:00.000000,3.586
2021-10-18T00:00:00.000000,3.671
2021-10-25T00:00:00.000000,3.713
2021-11-01T00:00:00.000000,3.727
2021-11-08T00:00:00.000000,3.73
2021-11-15T00:00:00.000000,3.734
2021-11-22T00:00:00.000000,3.724
2021-11-29T00:00:00.000000,3.72
2021-12-06T00:00:00.000000,3.674
2021-12-13T00:00:00.000000,3.649
2021-12-20T00:00:00.000000,3.626
2021-12-27T00:00:00.000000,3.615
2022-01-03T00:00:00.000000,3.613
2022-01-10T00:00:00.000000,3.657
2022-01-17T00:00:00.000000,3.725
2022-01-24T00:00:00.000000,3.78
2022-01-31T00:00:00.000000,3.846
2022-02-07T00:00:00.000000,3.951
2022-02-14T00:00:00.000000,4.019
2022-02-21T00:00:00.000000,4.055
2022-02-28T00:00:00.000000,4.104
2022-03-07T00:00:00.000000,4.849
2022-03-14T00:00:00.000000,5.25
2022-03-21T00:00:00.000000,5.134
2022-03-28T00:00:00.000000,5.185
2022-04-04T00:00:00.000000,5.144
2022-04-11T00:00:00.000000,5.073
2022-04-18T00:00:00.000000,5.101
2022-04-25T00:00:00.000000,5.16
2022-05-02T00:00:00.000000,5.509
2022-05-09T00:00:00.000000,5.623
2022-05-16T00:00:00.000000,5.613
2022-05-23T00:00:00.000000,5.571
2022-05-30T00:00:00.000000,5.539
2022-06-06T00:00:00.000000,5.703
2022-06-13T00:00:00.000000,5.718
2022-06-20T00:00:00.000000,5.81
2022-06-27T00:00:00.000000,5.783
2022-07-04T00:00:00.000000,5.675
2022-07-11T00:00:00.000000,5.568
2022-07-18T00:00:00.000000,5.432
2022-07-25T00:00:00.000000,5.268
2022-08-01T00:00:00.000000,5.138
2022-08-08T00:00:00.000000,4.993
2022-08-15T00:00:00.000000,4.911
2022-08-22T00:00:00.000000,4.909
2022-08-29T00:00:00.000000,5.115
2022-09-05T00:00:00.000000,5.084
2022-09-12T00:00:00.000000,5.033
2022-09-19T00:00:00.000000,4.964
2022-09-26T00:00:00.000000,4.889
2022-10-03T00:00:00.000000,4.836
2022-10-10T00:00:00.000000,5.224
2022-10-17T00:00:00.000000,5.339
2022-10-24T00:00:00.000000,5.341
2022-10-31T00:00:00.000000,5.317
2022-11-07T00:00:00.000000,5.333
2022-11-14T00:00:00.000000,5.313
2022-11-21T00:00:00.000000,5.233
2022-11-28T00:00:00.000000,5.141
2022-12-05T00:00:00.000000,4.967
2022-12-12T00:00:00.000000,4.754
2022-12-19T00:00:00.000000,4.596
2022-12-26T00:00:00.000000,4.537
2023-01-02T00:00:00.000000,4.583
2023-01-09T00:00:00.000000,4.549
2023-01-16T00:00:00.000000,4.524
2023-01-23T00:00:00.000000,4.604
2023-01-30T00:00:00.000000,4.622
2023-02-06T00:00:00.000000,4.539
2023-02-13T00:00:00.000000,4.444
2023-02-20T00:00:00.000000,4.376
2023-02-27T00:00:00.000000,4.294
2023-03-06T00:00:00.000000,4.282
2023-03-13T00:00:00.000000,4.247
2023-03-20T00:00:00.000000,4.185
2023-03-27T00:00:00.000000,4.128
2023-04-03T00:00:00.000000,4.105
2023-04-10T00:00:00.000000,4.098
2023-04-17T00:00:00.000000,4.116
2023-04-24T00:00:00.000000,4.077
2023-05-01T00:00:00.000000,4.018
2023-05-08T00:00:00.000000,3.922
2023-05-15T00:00:00.000000,3.897
2023-05-22T00:00:00.000000,3.883
2023-05-29T00:00:00.000000,3.855
2023-06-05T00:00:00.000000,3.797
2023-06-12T00:00:00.000000,3.794
2023-06-19T00:00:00.000000,3.815
2023-06-26T00:00:00.000000,3.801
2023-07-03T00:00:00.000000,3.767
2023-07-10T00:00:00.000000,3.806
2023-07-17T00:00:00.000000,3.806
2023-07-24T00:00:00.000000,3.905
2023-07-31T00:00:00.000000,4.127
2023-08-07T00:00:00.000000,4.239
2023-08-14T00:00:00.000000,4.378
2023-08-21T00:00:00.000000,4.389
2023-08-28T00:00:00.000000,4.475
2023-09-04T00:00:00.000000,4.492
2023-09-11T00:00:00.000000,4.54
2023-09-18T00:00:00.000000,4.633
2023-09-25T00:00:00.000000,4.586
2023-10-02T00:00:00.000000,4.593
2023-10-09T00:00:00.000000,4.498
2023-10-16T00:00:00.000000,4.444
2023-10-23T00:00:00.000000,4.545
2023-10-30T00:00:00.000000,4.454
2023-11-06T00:00:00.000000,4.366
2023-11-13T00:00:00.000000,4.294
2023-11-20T00:00:00.000000,4.209
2023-11-27T00:00:00.000000,4.146
2023-12-04T00:00:00.000000,4.092
2023-12-11T00:00:00.000000,3.987
2023-12-18T00:00:00.000000,3.894
2023-12-25T00:00:00.000000,3.914
2024-01-01T00:00:00.000000,3.876
2024-01-08T00:00:00.000000,3.828
