date,value
2003-03-01,1.21
2003-06-01,1.14
2003-09-01,1.1
2003-12-01,1.06
2004-03-01,1.01
2004-06-01,1.0
2004-09-01,1.08
2004-12-01,1.08
2005-03-01,1.01
2005-06-01,0.87
2005-09-01,0.91
2005-12-01,0.93
2006-03-01,0.92
2006-06-01,0.86
2006-09-01,1.07
2006-12-01,1.31
2007-03-01,1.56
2007-06-01,1.76
2007-09-01,2.23
2007-12-01,2.93
2008-03-01,3.94
2008-06-01,4.16
2008-09-01,4.73
2008-12-01,5.59
2009-03-01,6.97
2009-06-01,7.93
2009-09-01,8.17
2009-12-01,8.75
2010-03-01,8.89
2010-06-01,8.36
2010-09-01,7.82
2010-12-01,7.61
2011-03-01,7.46
2011-06-01,6.91
2011-09-01,6.83
2011-12-01,6.89
2012-03-01,6.67
2012-06-01,6.33
2012-09-01,5.9
2012-12-01,5.58
2013-03-01,5.35
2013-06-01,4.94
2013-09-01,4.31
2013-12-01,3.93
2014-03-01,3.72
2014-06-01,3.39
2014-09-01,3.18
2014-12-01,3.07
2015-03-01,2.95
2015-06-01,2.51
2015-09-01,2.32
2015-12-01,2.18
2016-03-01,2.08
2016-06-01,1.76
2016-09-01,1.63
2016-12-01,1.57
2017-03-01,1.67
2017-06-01,1.47
2017-09-01,1.38
2017-12-01,1.27
2018-03-01,1.22
2018-06-01,1.11
2018-09-01,1.06
2018-12-01,1.06
2019-03-01,1.0
2019-06-01,0.87
2019-09-01,0.97
2019-12-01,1.07
2020-03-01,1.06
2020-06-01,0.84
2020-09-01,0.7
2020-12-01,0.62
2021-03-01,0.59
2021-06-01,0.47
2021-09-01,0.46
2021-12-01,0.46
2022-03-01,0.47
2022-06-01,0.48
2022-09-01,0.37
2022-12-01,0.43
2023-03-01,0.44
2023-06-01,0.46
2023-09-01,0.5
2023-12-01,0.57
2024-03-01,0.6
2024-06-01,0.57
2024-09-01,0.7094519459888801
2024-12-01,0.7
2025-03-01,0.85546875
2025-06-01,0.8174787316318639
2025-09-01,0.83
2025-12-01,0.9157175398633257
2026-03-01,1.09
2026-06-01,0.99
