date,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70up
2000-03-01,61860,117100,108380,63040,25200,17840
2000-06-01,74440,157160,135180,79940,30040,19560
2000-09-01,72360,129540,111940,66200,25420,16160
2000-12-01,75520,130500,115600,66340,24940,15560
2001-03-01,63020,129620,118300,70460,27440,18040
2001-06-01,90700,181820,168380,104180,40980,25000
2001-09-01,75420,140240,129800,77820,31560,20020
2001-12-01,82680,154080,139880,82960,31680,21020
2002-03-01,100320,197260,187780,123640,50780,29800
2002-06-01,79640,154380,141180,89020,33860,18960
2002-09-01,72720,146420,140060,88940,34240,18080
2002-12-01,74900,145660,143200,88260,36880,18760
2003-03-01,68660,156960,165440,108780,47300,28520
2003-06-01,77700,166540,166300,106360,43320,24100
2003-09-01,67740,139260,144200,90440,38480,22240
2003-12-01,66020,130040,135000,89420,37560,20260
2004-03-01,60560,135520,143600,93120,40680,22660
2004-06-01,69800,146800,153580,99180,44300,22100
2004-09-01,66920,134340,135560,92740,37880,21580
2004-12-01,75760,151020,153160,102980,41780,22500
2005-03-01,56020,119620,125520,87140,36920,21400
2005-06-01,83460,174960,178980,127160,55300,29220
2005-09-01,90460,177980,176700,126840,54700,30640
2005-12-01,142780,257900,257140,173720,68400,33260
2006-03-01,21880,48380,52760,37240,16420,10140
2006-06-01,25720,63720,69000,49480,23220,13540
2006-09-01,28580,68400,75580,56160,24480,13280
2006-12-01,32400,71380,75960,53720,25040,14460
2007-03-01,27620,67040,73020,51820,24660,12140
2007-06-01,32180,76760,78720,60140,25860,13740
2007-09-01,33180,82820,90120,64700,29200,14260
2007-12-01,36040,91200,99940,72180,31980,15380
2008-03-01,32860,83180,92320,66940,31400,15200
2008-06-01,38780,99380,109680,79100,37220,16800
2008-09-01,38340,105260,115040,83900,38440,16360
2008-12-01,41020,107880,121560,91020,43520,19300
2009-03-01,36140,101920,115060,89940,46760,19960
2009-06-01,45360,134300,151900,113080,53720,22940
2009-09-01,43140,125720,150840,115840,56440,22800
2009-12-01,39760,120380,141880,110300,52660,20720
2010-03-01,32880,109740,134620,107180,54620,22560
2010-06-01,44420,147720,181980,144740,71060,29560
2010-09-01,36140,119840,153620,123420,62660,24620
2010-12-01,35580,116760,149360,116000,57480,23600
2011-03-01,27400,97700,126340,101660,56360,23160
2011-06-01,31620,108880,142220,110260,56060,22960
2011-09-01,29700,95440,124380,101380,50700,20740
2011-12-01,26720,95560,129600,100980,50180,21320
2012-03-01,22140,81360,109800,89980,46860,20460
2012-06-01,24900,91960,115900,97260,47180,20760
2012-09-01,24100,81300,101540,84320,43780,18420
2012-12-01,22580,74980,98580,81440,41320,16300
2013-03-01,19340,67420,88800,75060,40260,17580
2013-06-01,23820,82860,108580,94280,48340,21400
2013-09-01,23080,74360,102080,87720,46560,20520
2013-12-01,19720,72540,95440,82880,41680,19320
2014-03-01,15420,54500,74660,67540,37040,16320
2014-06-01,17840,66580,88740,76620,39940,17540
2014-09-01,17480,56560,74480,63140,34980,15540
2014-12-01,18820,56020,76980,64140,35840,15300
2015-03-01,15840,52460,70100,63480,35980,16700
2015-06-01,18680,59080,72940,62820,35040,16120
2015-09-01,17740,49440,60520,53820,30060,13680
2015-12-01,16660,46040,56660,51820,28060,13700
2016-03-01,15160,45420,54020,50380,28080,13400
2016-06-01,17680,50440,58400,51500,30740,15320
2016-09-01,16880,48340,56240,48740,28800,13980
2016-12-01,16700,44340,53780,48260,27240,13460
2017-03-01,14500,41140,53640,48880,29960,14920
2017-06-01,17960,49100,59960,50060,30780,15800
2017-09-01,16720,43900,54440,49120,28040,15960
2017-12-01,16740,42360,51740,44520,29440,15360
2018-03-01,14040,39620,50260,45080,27000,15300
2018-06-01,17440,47060,58820,51580,32120,17660
2018-09-01,16720,45100,54260,49260,31660,17360
2018-12-01,14900,41740,51240,45780,26620,14780
2019-03-01,13980,38260,48740,45700,28460,16680
2019-06-01,18060,48740,59260,55220,31540,19040
2019-09-01,15020,40760,47520,42240,25660,14780
2019-12-01,16440,42320,52280,46260,28260,16020
2020-03-01,13860,38940,48280,43420,27820,16420
2020-06-01,11360,28300,33380,30420,19540,12420
2020-09-01,10860,27520,33100,29620,19020,11580
2020-12-01,10320,25480,29800,28100,17380,9520
2021-03-01,8680,22260,27640,26860,16940,9580
2021-06-01,8400,23380,29260,27840,17520,9720
2021-09-01,7380,18720,24680,22560,14940,8720
2021-12-01,6740,17680,22280,21260,15720,7960
2022-03-01,5940,17060,21980,21700,14500,8300
2022-06-01,7560,18780,22020,21960,14620,8460
2022-09-01,6840,19200,24620,22380,16180,8180
2022-12-01,7220,19700,24580,22520,14600,8080
2023-03-01,6820,20340,24060,24920,15440,9400
2023-06-01,8220,24060,28500,26100,15740,9980
2023-09-01,8500,24020,28540,26860,16340,9500
2023-12-01,8500,23060,28440,25620,16680,9260
2024-03-01,7960,24460,30200,28660,18300,9880
2024-06-01,9300,27880,34260,31000,18920,11420
2024-09-01,9880,26760,32560,29360,18900,10420
2024-12-01,9280,25920,29240,29060,18380,10600
2025-03-01,6880,21640,25880,24580,16220,9620
2025-06-01,7720,27700,34440,30560,19520,11160
2025-09-01,9900,30260,34760,32260,22040,12120
2025-12-01,8860,26560,32300,28160,17440,10340
2026-03-01,7920,25400,32200,28560,18740,10920
2026-06-01,8000,29360,36660,31520,19920,11180
