date,value
2003-03-01,612260
2003-06-01,628660
2003-09-01,542440
2003-12-01,516020
2004-03-01,534900
2004-06-01,579320
2004-09-01,530520
2004-12-01,572920
2005-03-01,462080
2005-06-01,662500
2005-09-01,667920
2005-12-01,948620
2006-03-01,213860
2006-06-01,250960
2006-09-01,271280
2006-12-01,276160
2007-03-01,258840
2007-06-01,290560
2007-09-01,318420
2007-12-01,352320
2008-03-01,326860
2008-06-01,385460
2008-09-01,404080
2008-12-01,431760
2009-03-01,413900
2009-06-01,524080
2009-09-01,517560
2009-12-01,486860
2010-03-01,463180
2010-06-01,621420
2010-09-01,521520
2010-12-01,500120
2011-03-01,433600
2011-06-01,473360
2011-09-01,423340
2011-12-01,425400
2012-03-01,371420
2012-06-01,398980
2012-09-01,354300
2012-12-01,335920
2013-03-01,309200
2013-06-01,380020
2013-09-01,355460
2013-12-01,332360
2014-03-01,266040
2014-06-01,308120
2014-09-01,262760
2014-12-01,267760
2015-03-01,255220
2015-06-01,265300
2015-09-01,225860
2015-12-01,213280
2016-03-01,206900
2016-06-01,224420
2016-09-01,213300
2016-12-01,204160
2017-03-01,203440
2017-06-01,224020
2017-09-01,208440
2017-12-01,200400
2018-03-01,191540
2018-06-01,224900
2018-09-01,214540
2018-12-01,195200
2019-03-01,192080
2019-06-01,234280
2019-09-01,186120
2019-12-01,201820
2020-03-01,188980
2020-06-01,135600
2020-09-01,131840
2020-12-01,120640
2021-03-01,113780
2021-06-01,118680
2021-09-01,99300
2021-12-01,93800
2022-03-01,90880
2022-06-01,95220
2022-09-01,99080
2022-12-01,98700
2023-03-01,102440
2023-06-01,114140
2023-09-01,115660
2023-12-01,113600
2024-03-01,121360
2024-06-01,136180
2024-09-01,126140
2024-12-01,122660
2025-03-01,104860
2025-06-01,131320
2025-09-01,141640
2025-12-01,123820
2026-03-01,124020
2026-06-01,136800
