date,value
2003-03-01,0.35
2003-06-01,0.28
2003-09-01,0.22
2003-12-01,0.31
2004-03-01,0.21
2004-06-01,0.15
2004-09-01,0.18
2004-12-01,0.21
2005-03-01,0.25
2005-06-01,0.24
2005-09-01,0.2
2005-12-01,0.16
2006-03-01,0.17
2006-06-01,0.39
2006-09-01,0.5
2006-12-01,0.61
2007-03-01,0.65
2007-06-01,0.77
2007-09-01,1.2
2007-12-01,1.32
2008-03-01,1.86
2008-06-01,2.21
2008-09-01,2.66
2008-12-01,3.33
2009-03-01,3.77
2009-06-01,3.97
2009-09-01,4.18
2009-12-01,4.37
2010-03-01,4.05
2010-06-01,4.29
2010-09-01,4.23
2010-12-01,4.29
2011-03-01,4.66
2011-06-01,4.66
2011-09-01,4.7
2011-12-01,4.71
2012-03-01,4.69
2012-06-01,4.92
2012-09-01,4.93
2012-12-01,3.48
2013-03-01,3.22
2013-06-01,3.0
2013-09-01,3.51
2013-12-01,3.19
2014-03-01,3.37
2014-06-01,3.33
2014-09-01,3.34
2014-12-01,3.16
2015-03-01,3.04
2015-06-01,3.24
2015-09-01,2.44
2015-12-01,2.24
2016-03-01,2.19
2016-06-01,1.96
2016-09-01,2.03
2016-12-01,2.13
2017-03-01,2.06
2017-06-01,1.88
2017-09-01,1.53
2017-12-01,1.67
2018-03-01,1.51
2018-06-01,1.56
2018-09-01,1.2
2018-12-01,1.16
2019-03-01,1.25
2019-06-01,1.1
2019-09-01,1.13
2019-12-01,0.84
2020-03-01,1.19
2020-06-01,1.25
2020-09-01,1.23
2020-12-01,1.12
2021-03-01,1.18
2021-06-01,1.05
2021-09-01,1.0
2021-12-01,0.82
2022-03-01,0.82
2022-06-01,0.91
2022-09-01,1.07
2022-12-01,0.87
2023-03-01,0.78
2023-06-01,0.64
2023-09-01,0.74
2023-12-01,0.62
2024-03-01,0.5
2024-06-01,0.36
2024-09-01,0.43425471454404546
2024-12-01,0.53
2025-03-01,0.8687546607009695
2025-06-01,0.8516536964980546
2025-09-01,0.75
2025-12-01,0.8219557195571955
2026-03-01,0.95
2026-06-01,0.99
