date,value
2023-02-01T00:00:00.000000,140.956
2023-03-01T00:00:00.000000,140.995
2023-04-01T00:00:00.000000,141.303
2023-05-01T00:00:00.000000,140.912
2023-06-01T00:00:00.000000,141.181
2023-07-01T00:00:00.000000,141.871
2023-08-01T00:00:00.000000,142.641
2023-09-01T00:00:00.000000,142.618
2023-10-01T00:00:00.000000,142.258
2023-11-01T00:00:00.000000,141.869
2023-12-01T00:00:00.000000,141.267
2024-01-01T00:00:00.000000,142.186
2024-02-01T00:00:00.000000,143.26
2024-03-01T00:00:00.000000,143.784
2024-04-01T00:00:00.000000,144.563
2024-05-01T00:00:00.000000,144.504
2024-06-01T00:00:00.000000,145.321
2024-07-01T00:00:00.000000,145.264
2024-08-01T00:00:00.000000,145.589
2024-09-01T00:00:00.000000,145.671
2024-10-01T00:00:00.000000,146.291
2024-11-01T00:00:00.000000,145.994
2024-12-01T00:00:00.000000,146.189
2025-01-01T00:00:00.000000,147.604
2025-02-01T00:00:00.000000,148.169
2025-03-01T00:00:00.000000,148.319
2025-04-01T00:00:00.000000,148.009
2025-05-01T00:00:00.000000,148.427
2025-06-01T00:00:00.000000,148.838
2025-07-01T00:00:00.000000,149.898
2025-08-01T00:00:00.000000,149.466
2025-09-01T00:00:00.000000,150.1
2025-10-01T00:00:00.000000,150.439
2025-11-01T00:00:00.000000,150.58
2025-12-01T00:00:00.000000,150.773
2026-01-01T00:00:00.000000,152.114
2026-02-01T00:00:00.000000,153.252
2026-03-01T00:00:00.000000,154.656
2026-04-01T00:00:00.000000,156.878
