date,value
2003-03-01,2.33
2003-06-01,2.26
2003-09-01,2.16
2003-12-01,2.16
2004-03-01,2.32
2004-06-01,2.17
2004-09-01,2.27
2004-12-01,2.42
2005-03-01,2.38
2005-06-01,1.99
2005-09-01,2.03
2005-12-01,2.09
2006-03-01,2.15
2006-06-01,2.22
2006-09-01,2.58
2006-12-01,2.62
2007-03-01,2.59
2007-06-01,2.54
2007-09-01,2.76
2007-12-01,3.05
2008-03-01,3.22
2008-06-01,3.26
2008-09-01,3.64
2008-12-01,3.94
2009-03-01,4.35
2009-06-01,4.47
2009-09-01,4.68
2009-12-01,4.92
2010-03-01,5.01
2010-06-01,4.84
2010-09-01,4.83
2010-12-01,5.27
2011-03-01,5.09
2011-06-01,4.99
2011-09-01,5.03
2011-12-01,4.82
2012-03-01,4.55
2012-06-01,4.24
2012-09-01,4.25
2012-12-01,4.03
2013-03-01,3.92
2013-06-01,3.57
2013-09-01,3.37
2013-12-01,3.35
2014-03-01,3.32
2014-06-01,3.27
2014-09-01,3.14
2014-12-01,3.47
2015-03-01,3.34
2015-06-01,3.36
2015-09-01,3.36
2015-12-01,3.37
2016-03-01,3.52
2016-06-01,3.46
2016-09-01,3.58
2016-12-01,3.75
2017-03-01,3.82
2017-06-01,3.92
2017-09-01,3.97
2017-12-01,4.05
2018-03-01,4.26
2018-06-01,4.17
2018-09-01,4.27
2018-12-01,4.47
2019-03-01,4.69
2019-06-01,4.64
2019-09-01,4.71
2019-12-01,4.94
2020-03-01,5.05
2020-06-01,5.03
2020-09-01,4.82
2020-12-01,4.77
2021-03-01,4.79
2021-06-01,4.35
2021-09-01,4.05
2021-12-01,3.98
2022-03-01,4.0
2022-06-01,3.86
2022-09-01,3.89
2022-12-01,3.73
2023-03-01,3.89
2023-06-01,3.82
2023-09-01,3.91
2023-12-01,4.17
2024-03-01,4.41
2024-06-01,4.43
2024-09-01,4.586374695863747
2024-12-01,4.83
2025-03-01,4.986601705237515
2025-06-01,4.990936555891238
2025-09-01,5.02
2025-12-01,5.20755848830234
2026-03-01,5.6
2026-06-01,5.49
