date,value
2003-03-01,8.84
2003-06-01,8.9
2003-09-01,8.67
2003-12-01,9.24
2004-03-01,9.27
2004-06-01,8.85
2004-09-01,8.65
2004-12-01,9.18
2005-03-01,9.59
2005-06-01,9.23
2005-09-01,9.07
2005-12-01,8.53
2006-03-01,8.82
2006-06-01,8.96
2006-09-01,9.19
2006-12-01,9.66
2007-03-01,9.74
2007-06-01,9.38
2007-09-01,9.34
2007-12-01,9.48
2008-03-01,9.49
2008-06-01,10.15
2008-09-01,9.48
2008-12-01,10.18
2009-03-01,11.44
2009-06-01,11.74
2009-09-01,11.9
2009-12-01,12.7
2010-03-01,13.73
2010-06-01,13.74
2010-09-01,13.16
2010-12-01,13.27
2011-03-01,13.12
2011-06-01,12.16
2011-09-01,11.5
2011-12-01,11.48
2012-03-01,11.27
2012-06-01,10.9
2012-09-01,10.45
2012-12-01,10.57
2013-03-01,10.21
2013-06-01,9.99
2013-09-01,9.36
2013-12-01,9.45
2014-03-01,8.51
2014-06-01,7.83
2014-09-01,7.46
2014-12-01,7.31
2015-03-01,8.38
2015-06-01,8.39
2015-09-01,8.21
2015-12-01,7.65
2016-03-01,7.6
2016-06-01,7.17
2016-09-01,7.08
2016-12-01,7.14
2017-03-01,7.45
2017-06-01,7.38
2017-09-01,7.47
2017-12-01,7.55
2018-03-01,8.01
2018-06-01,7.88
2018-09-01,7.94
2018-12-01,7.77
2019-03-01,8.32
2019-06-01,8.32
2019-09-01,8.27
2019-12-01,8.36
2020-03-01,9.09
2020-06-01,9.75
2020-09-01,9.74
2020-12-01,9.36
2021-03-01,9.98
2021-06-01,9.28
2021-09-01,8.77
2021-12-01,8.32
2022-03-01,8.42
2022-06-01,7.98
2022-09-01,7.59
2022-12-01,7.67
2023-03-01,8.24
2023-06-01,8.0
2023-09-01,9.43
2023-12-01,9.74
2024-03-01,10.69
2024-06-01,10.93
2024-09-01,11.132075471698114
2024-12-01,11.35
2025-03-01,12.30964467005076
2025-06-01,12.266335814722911
2025-09-01,12.41
2025-12-01,12.70164447924824
2026-03-01,13.12
2026-06-01,12.92
