date,top_1pct,pct_90_99,pct_50_90,bottom_50pct
1989-07-01,4661441,7765864,7294829,717856
1989-10-01,4779759,7891125,7436835,710263
1990-01-01,4747475,7866339,7521091,733086
1990-04-01,4844182,7955558,7638761,711587
1990-07-01,4723446,7855169,7707109,742667
1990-10-01,4898678,7990024,7816600,767184
1991-01-01,5083059,8136421,7952651,776668
1991-04-01,5087392,8128836,8029468,779989
1991-07-01,5167579,8190658,8172979,833161
1991-10-01,5401007,8377280,8321764,853790
1992-01-01,5382092,8339659,8374565,871834
1992-04-01,5347158,8390655,8465545,887271
1992-07-01,5394617,8505514,8618477,953281
1992-10-01,5658721,8697673,8749873,967181
1993-01-01,5849296,8823335,8800533,920552
1993-04-01,5953248,8879868,8904306,936646
1993-07-01,6127239,8972984,9037911,947061
1993-10-01,6348640,9083287,9144748,942554
1994-01-01,6431641,9106188,9207097,903871
1994-04-01,6538391,9121793,9285672,887612
1994-07-01,6689511,9186938,9405949,911243
1994-10-01,6853610,9195830,9434297,912606
1995-01-01,7074725,9342961,9563713,937981
1995-04-01,7323769,9418224,9752356,986901
1995-07-01,7617627,9460545,9787127,1024003
1995-10-01,7841377,9731841,9979253,1017680
1996-01-01,7939771,9943718,10185152,1010760
1996-04-01,8055768,10102842,10357057,1017465
1996-07-01,8075059,10226604,10489299,1029008
1996-10-01,8285891,10509863,10659450,1026048
1997-01-01,8271347,10640108,10757949,1041196
1997-04-01,8725372,11137396,11096550,1078863
1997-07-01,9030147,11496677,11359492,1108667
1997-10-01,9214439,11730653,11478183,1098161
1998-01-01,9756228,12331470,11879887,1162077
1998-04-01,9961896,12599598,12098659,1156873
1998-07-01,9544500,12356139,12079075,1216246
1998-10-01,10317911,13187210,12492697,1214310
1999-01-01,10313553,13312187,12644550,1257912
1999-04-01,10684857,13758161,12924974,1240200
1999-07-01,10537981,13723504,13003096,1253439
1999-10-01,11467648,14699427,13493871,1311449
2000-01-01,11720163,15083917,13901774,1352557
2000-04-01,11562324,15071974,14060564,1357268
2000-07-01,11644362,15257563,14319276,1384645
2000-10-01,11259839,15062975,14388480,1334754
2001-01-01,10941900,14931076,14670196,1338970
2001-04-01,11310525,15428619,15055767,1337176
2001-07-01,10754497,15046831,14992712,1318753
2001-10-01,11269652,15671298,15394289,1297042
2002-01-01,11402664,15921819,15629375,1310958
2002-04-01,11174306,15737013,15511109,1278407
2002-07-01,10636904,15330111,15362853,1267621
2002-10-01,10882628,15658721,15638346,1275141
2003-01-01,10848225,15790847,15768372,1229774
2003-04-01,11521146,16576656,16164339,1194719
2003-07-01,11841439,16928153,16351129,1227457
2003-10-01,12511950,17629552,16773670,1245805
2004-01-01,13459083,18455361,17368957,1270904
2004-04-01,13645654,18745792,17627884,1315087
2004-07-01,14066129,19174318,17929099,1300650
2004-10-01,14770833,20008277,18515920,1338612
2005-01-01,14947561,20371883,18795234,1360575
2005-04-01,15464514,20995240,19105349,1375690
2005-07-01,15955009,21613756,19505669,1447604
2005-10-01,16317817,22102948,19916630,1511710
2006-01-01,17222606,22886376,20078305,1482743
2006-04-01,17184243,23012597,20139265,1486453
2006-07-01,17565841,23438527,20334677,1481030
2006-10-01,18138954,24028240,20560520,1459422
2007-01-01,18608876,24447570,20578891,1410143
2007-04-01,18881172,24841270,20569795,1366741
2007-07-01,19264076,25217752,20623630,1323008
2007-10-01,18932448,25123942,20515795,1105980
2008-01-01,18188106,24559216,20075574,928281
2008-04-01,17847284,24217202,19728442,924992
2008-07-01,17002828,23490283,19256173,700679
2008-10-01,15911868,22294649,18699251,565632
2009-01-01,15296865,21701945,18319238,403169
2009-04-01,15548550,22104981,18321590,416166
2009-07-01,16337030,22890755,18519279,383375
2009-10-01,16373634,23084857,18543356,331556
2010-01-01,16797694,23583845,18764870,321130
2010-04-01,16512820,23421614,18538732,297578
2010-07-01,17280267,24305733,18844162,328851
2010-10-01,17962149,24987709,19182714,246250
2011-01-01,18458027,25351031,19357979,252760
2011-04-01,18612947,25500977,19456879,274408
2011-07-01,17808441,24688553,19225764,275920
2011-10-01,18368973,25168062,19523623,262768
2012-01-01,19173193,25895817,19866294,286878
2012-04-01,19161471,25854141,19906444,360705
2012-07-01,19851320,26474839,20351924,394775
2012-10-01,20112447,26751358,20628985,476053
2013-01-01,21067496,27831347,21328526,461228
2013-04-01,21258869,28252831,21682741,556204
2013-07-01,21993743,29084311,22343397,663738
2013-10-01,22718671,29968696,22834474,660662
2014-01-01,23414115,30642312,23124961,702806
2014-04-01,24264217,31415318,23456901,800488
2014-07-01,24432570,31664243,23608159,829638
2014-10-01,25059941,32239990,23830936,828815
2015-01-01,25615118,32829122,24158091,876018
2015-04-01,25924627,33155443,24261732,905339
2015-07-01,25438156,32782630,24168126,906478
2015-10-01,25927968,33318198,24533220,995482
2016-01-01,26287208,33790132,24803099,1023600
2016-04-01,26916350,34417197,25103802,1028043
2016-07-01,27439824,34912639,25516987,1151766
2016-10-01,27489693,35165932,25817621,1144575
2017-01-01,28212926,36103793,26407401,1213614
2017-04-01,28857777,36879415,26808023,1290836
2017-07-01,29301273,37549023,27277643,1339231
2017-10-01,30167914,38501249,27833457,1392826
2018-01-01,30295196,38902566,28265721,1476882
2018-04-01,30627905,39456494,28536998,1553504
2018-07-01,31319981,40301647,29000464,1583131
2018-10-01,29384521,38761608,28180483,1529153
2019-01-01,31569210,40884956,29020023,1614105
2019-04-01,32346163,41913810,29817793,1677773
2019-07-01,32302280,42109534,29943052,1796596
2019-10-01,33377989,42983780,30736876,1866145
2020-01-01,30116821,40448592,30536455,1894874
2020-04-01,32959892,42952555,32365743,2207222
2020-07-01,34521788,44383436,33796141,2405497
2020-10-01,37610634,47074906,35760861,2700862
2021-01-01,39499579,48716843,37489563,2962523
2021-04-01,41971030,51090370,39743340,3175525
2021-07-01,42894681,52004111,41035684,3331087
2021-10-01,44309096,53234723,42192310,3495495
2022-01-01,43832850,53007825,43399601,3653530
2022-04-01,40662444,50443373,43253714,3714403
2022-07-01,39597139,48996329,42266410,3592857
2022-10-01,40441452,49469958,42071061,3479565
2023-01-01,41825370,50829237,42789948,3604345
2023-04-01,43544346,52746695,44744628,3701381
2023-07-01,42937999,52350650,44680579,3652520
2023-10-01,44901182,54052356,45352708,3689067
2024-01-01,46937391,56029731,46790143,3828175
2024-04-01,47712117,56977399,47938909,3857263
2024-07-01,49609139,58587807,48471149,3886317
2024-10-01,50043326,58724123,48485811,3985515
2025-01-01,49793375,58638674,48733987,3981179
2025-04-01,52133772,60880983,50273706,4128828
2025-07-01,54489861,62738206,50877889,4222431
2025-10-01,55356761,63346324,51031653,4268724
2026-01-01,55033000,63225396,51484864,4266359
